 ########################################
 # AXIS SYMMETRIC load of type = 20
 # degree & load (kg/m**2)      
   0  0.23624760E+05
   2  0.11334086E+06
   3  0.15217608E+06
   4  0.18489036E+06
   5  0.21025530E+06
   6  0.22739465E+06
   7  0.23582264E+06
   8  0.23546209E+06
   9  0.22664122E+06
  10  0.21006990E+06
  11  0.18679646E+06
  12  0.15814797E+06
  13  0.12565719E+06
  14  0.90980407E+05
  15  0.55810707E+05
  16  0.21791419E+05
  17  -.95656211E+04
  18  -.36952647E+05
  19  -.59325676E+05
  20  -.75948399E+05
  21  -.86418252E+05
  22  -.90673702E+05
  23  -.88982839E+05
  24  -.81914438E+05
  25  -.70293596E+05
  26  -.55144870E+05
  27  -.37626487E+05
  28  -.18959611E+05
  29  -.35680855E+03
  30  0.17046169E+05
  31  0.32251525E+05
  32  0.44450186E+05
  33  0.53059629E+05
  34  0.57747017E+05
  35  0.58436803E+05
  36  0.55302897E+05
  37  0.48746393E+05
  38  0.39360695E+05
  39  0.27886546E+05
  40  0.15160010E+05
  41  0.20567713E+04
  42  -.10563753E+05
  43  -.21911110E+05
  44  -.31310219E+05
  45  -.38238878E+05
  46  -.42354374E+05
  47  -.43507948E+05
  48  -.41746618E+05
  49  -.37302693E+05
  50  -.30572019E+05
  51  -.22082712E+05
  52  -.12456622E+05
  53  -.23661963E+04
  54  0.75104070E+04
  55  0.16533067E+05
  56  0.24139583E+05
  57  0.29879279E+05
  58  0.33438405E+05
  59  0.34655945E+05
  60  0.33529136E+05
  61  0.30208627E+05
  62  0.24983909E+05
  63  0.18260213E+05
  64  0.10528622E+05
  65  0.23314894E+04
  66  -.57744614E+04
  67  -.13254928E+05
  68  -.19632323E+05
  69  -.24515438E+05
  70  -.27622658E+05
  71  -.28797419E+05
  72  -.28015079E+05
